width,wheelbase,class
1.6492224685867642,2.513837127299745,1.0
1.7313999640203646,2.546924999994907,1.0
1.6908787516554589,2.515623979247332,1.0
1.7588314266596137,2.402247746433544,1.0
1.6549985327700723,2.5443080444542914,1.0
1.716929027142951,2.5608365942837326,1.0
1.6737228981358994,2.505044680051674,1.0
1.7224013807854437,2.445631109429899,1.0
1.6784458850213697,2.455543710759064,1.0
1.7428069255023992,2.578989674209415,1.0
1.6983118584633383,2.498903521987855,1.0
1.7249306643454276,2.496635284816909,1.0
1.7190204963815974,2.5840211295308815,1.0
1.7117464793399184,2.5168919391282154,1.0
1.72610975892569,2.5493653247854935,1.0
1.7570777160573345,2.5083341282973795,1.0
1.6643974072419823,2.5257256132431785,1.0
1.717952336529746,2.4160671069719974,1.0
1.7272313302767417,2.4428057816507054,1.0
1.7295541044780893,2.402199914377885,1.0
1.7402405461458235,2.5148935072517715,1.0
1.7181319913230608,2.5342285432221607,1.0
1.7367218641025794,2.4873002724079547,1.0
1.644726605515569,2.4857264984735967,1.0
1.7171811113133764,2.5659834789366216,1.0
1.6267500844716873,2.4570245252163474,1.0
1.7432173498724914,2.55005599561305,1.0
1.7204641747839569,2.5435369739377984,1.0
1.6251777889590933,2.5748364674574633,1.0
1.7241787384272522,2.447431186763142,1.0
1.6238478530026925,2.4385135325559997,1.0
1.6891928968629346,2.5371734720350894,1.0
1.664845186843783,2.5862226834772533,1.0
1.682368788763611,2.4338777445591107,1.0
1.704254342800885,2.561516525447523,1.0
1.6657920696487416,2.5769740631759284,1.0
1.7606303183914482,2.4137428425644836,1.0
1.7575836183321516,2.4978913213769514,1.0
1.6488496234644743,2.4584527977752013,1.0
1.700718340168917,2.4499902775031805,1.0
1.7612989420751581,2.5171916465337065,1.0
1.6288148584106488,2.487661540859992,1.0
1.6764429002909824,2.4770809673608727,1.0
1.6661217301649174,2.4791411830481715,1.0
1.6787140295839738,2.4348733835517637,1.0
1.7449053969407664,2.515546617445142,1.0
1.7680150251435838,2.5340174065771146,1.0
1.6580567945986286,2.428647139290837,1.0
1.76480774544443,2.440621338900974,1.0
1.6209883731019308,2.4090389407162314,1.0
1.743864939028886,2.450622091398857,1.0
1.649700317325167,2.5196781655429437,1.0
1.6985453412537916,2.5677938187756753,1.0
1.7421059244421708,2.547897930814263,1.0
1.6659886899282368,2.45523673131909,1.0
1.6963218932337911,2.4458457053002376,1.0
1.693914994917881,2.453261480288743,1.0
1.7075952165884347,2.42303894825979,1.0
1.6594856265406766,2.5151683712067348,1.0
1.6530285063519319,2.5279560660676683,1.0
1.6596656663143872,2.4070996612251165,1.0
1.74084207983955,2.5192931241764147,1.0
1.7017590070570043,2.571752262866832,1.0
1.7068076215772297,2.5128486810923216,1.0
1.6904825997719157,2.567790927986791,1.0
1.6885116246735128,2.540757862786543,1.0
1.6221412163245161,2.46378469197188,1.0
1.7666222766692319,2.5003111154130355,1.0
1.7488386191784937,2.4421879775333455,1.0
1.6667847302384082,2.4339962196937353,1.0
1.728159120240524,2.5611487934223645,1.0
1.6365599449036086,2.457530675427713,1.0
1.6936234409397293,2.578320570515127,1.0
1.7149012216096806,2.4106261375295452,1.0
1.630323889765216,2.4305656780311553,1.0
1.6804831608885187,2.4516648025498076,1.0
1.7149231440194337,2.4046191297939443,1.0
1.6672401921813542,2.428367634855003,1.0
1.6759799088905443,2.4463207468111485,1.0
1.683750995749841,2.4466229569532776,1.0
1.7104335508290163,2.494572273932069,1.0
1.7361095041986454,2.587013716819848,1.0
1.7266921682413803,2.403923898870114,1.0
1.6922813241978318,2.5708345128577936,1.0
1.6696088052409008,2.4051929950586275,1.0
1.7053799989006695,2.5390047901670303,1.0
1.6312986172660042,2.497770699653179,1.0
1.6808873194799392,2.453015258775679,1.0
1.7587470929443845,2.425304569055284,1.0
1.763251756070321,2.4532614670994897,1.0
1.623549225963874,2.564572214505835,1.0
1.6747288528494253,2.572445932908407,1.0
1.639826380556735,2.5773663062994756,1.0
1.6568892133200148,2.441768228393944,1.0
1.6838487705622844,2.403919067440716,1.0
1.7423361188211202,2.578977705517564,1.0
1.6361983957116086,2.5289369774222776,1.0
1.7388322094665472,2.539668965693139,1.0
1.7696089267179,2.520687302235957,1.0
1.6382830852514523,2.4116647081359774,1.0
1.7251271056683803,2.486445768739289,1.0
1.6850436455947209,2.490392011433388,1.0
1.6432400895251649,2.546334469607806,1.0
1.6628611417979686,2.5626829033490406,1.0
1.6449422876725543,2.5291239274136283,1.0
1.7656048403005458,2.5768151770492485,1.0
1.6585945475297093,2.4302230111767584,1.0
1.763727028559816,2.54469345943131,1.0
1.6488620428271097,2.404798295545836,1.0
1.6649677476847509,2.439393579352588,1.0
1.7116733846964476,2.526638518008729,1.0
1.632055375420707,2.5795567500243464,1.0
1.6853066382856052,2.470866712484125,1.0
1.649575440448889,2.5626690796827183,1.0
1.7059183379692124,2.4143319800779457,1.0
1.62275634702586,2.4074605899085313,1.0
1.6203551054322896,2.457246651869105,1.0
1.740256241655782,2.462711253566948,1.0
1.637453012693097,2.535021493293485,1.0
1.6584863677527975,2.4499958965657798,1.0
1.6394777896721264,2.554151713470619,1.0
1.637030944480914,2.449205533550843,1.0
1.7483011841676859,2.4118450911261236,1.0
1.686410412556654,2.5418489259262795,1.0
1.7354820543881586,2.5053132178872146,1.0
1.6860832661883398,2.566272615040151,1.0
1.766593357959986,2.578656019241546,1.0
1.6809460226208601,2.4208498273234285,1.0
1.6983845184593496,2.51922490064153,1.0
1.7246859201267388,2.4553054924145856,1.0
1.6478683163591057,2.4445305754332147,1.0
1.6926186636616984,2.452890283137164,1.0
1.7085724323420404,2.547336312144557,1.0
1.6554522580987179,2.500460798852974,1.0
1.6759680315426118,2.403170545246797,1.0
1.6962329514784131,2.5251899967158997,1.0
1.7470375623712668,2.479358019390112,1.0
1.7439412970210457,2.456073677769863,1.0
1.7297035941192587,2.4563129445761116,1.0
1.7503009296644707,2.5669332233474886,1.0
1.7075602467881121,2.5372435105065048,1.0
1.70973483095631,2.4752117595046843,1.0
1.6715901221384903,2.4317087019483568,1.0
1.6978434846237,2.5450095237165544,1.0
1.684168741559397,2.4526675562539233,1.0
1.731176208570433,2.554428623135305,1.0
1.6862232743931846,2.437622188188612,1.0
1.6799612599983216,2.5817239430425154,1.0
1.665040503181146,2.5816783471467097,1.0
1.7128041472820366,2.473929604140908,1.0
1.7020636648614582,2.4408001708669222,1.0
1.6887561107924394,2.541841605217788,1.0
1.7530490295752925,2.4571404838473305,1.0
1.7331543239183567,2.401483613950409,1.0
1.7476896302460132,2.501233610257583,1.0
1.6211014557388579,2.533135900703966,1.0
1.6980887878631163,2.4387476351811834,1.0
1.6377664056673633,2.4424933842646643,1.0
1.6468817626803194,2.580772481904242,1.0
1.697263864786426,2.56624184698436,1.0
1.734627396153862,2.461261400242204,1.0
1.639760426046012,2.422509964092116,1.0
1.680224145257744,2.5321497062262335,1.0
1.7321478815523768,2.575047971641755,1.0
1.7661252574018707,2.5677364966796197,1.0
